max_depth,learning_rate,subsample,colsample_bytree,Accuracy,Precision,Recall,F1,POD,FAR,CSI,HSS
3,0.03,0.8,0.8,0.6960616438356164,0.3642241379310345,0.7379912663755459,0.48773448773448774,0.7379912663755459,0.6357758620689655,0.32251908396946566,0.33648952254715364
3,0.03,0.8,1.0,0.6977739726027398,0.3658008658008658,0.7379912663755459,0.48914616497829233,0.7379912663755459,0.6341991341991342,0.32375478927203066,0.3384829721934283
3,0.03,1.0,0.8,0.6934931506849316,0.3624733475479744,0.74235807860262,0.4871060171919771,0.74235807860262,0.6375266524520256,0.32196969696969696,0.33584594243104143
3,0.03,1.0,1.0,0.7011986301369864,0.3706896551724138,0.7510917030567685,0.4963924963924964,0.7510917030567685,0.6293103448275862,0.33013435700575816,0.34942688305239006
3,0.05,0.8,0.8,0.7046232876712328,0.36818181818181817,0.7074235807860262,0.484304932735426,0.7074235807860262,0.6318181818181818,0.31952662721893493,0.33045982915881356
3,0.05,0.8,1.0,0.702054794520548,0.3619489559164733,0.6812227074235808,0.4727272727272727,0.6812227074235808,0.6380510440835266,0.30952380952380953,0.3135440172111482
3,0.05,1.0,0.8,0.696917808219178,0.36017897091722595,0.7030567685589519,0.47633136094674555,0.7030567685589519,0.639821029082774,0.312621359223301,0.3189359001559598
3,0.05,1.0,1.0,0.6977739726027398,0.35909090909090907,0.6899563318777293,0.47234678624813153,0.6899563318777293,0.6409090909090909,0.30919765166340507,0.31300585970699596
3,0.1,0.8,0.8,0.711472602739726,0.3669950738916256,0.6506550218340611,0.4692913385826772,0.6506550218340611,0.6330049261083743,0.3065843621399177,0.3091439217548336
3,0.1,0.8,1.0,0.7123287671232876,0.36175710594315247,0.611353711790393,0.45454545454545453,0.611353711790393,0.6382428940568475,0.29411764705882354,0.2895812309821798
3,0.1,1.0,0.8,0.7071917808219178,0.36049382716049383,0.6375545851528385,0.4605678233438486,0.6375545851528385,0.6395061728395062,0.29918032786885246,0.2968556195448491
3,0.1,1.0,1.0,0.7097602739726028,0.35751295336787564,0.6026200873362445,0.44878048780487806,0.6026200873362445,0.6424870466321243,0.2893081761006289,0.28164981243337467
5,0.03,0.8,0.8,0.7183219178082192,0.36187845303867405,0.5720524017467249,0.4433164128595601,0.5720524017467249,0.638121546961326,0.2847826086956522,0.2766755524335886
5,0.03,0.8,1.0,0.714041095890411,0.35772357723577236,0.5764192139737991,0.4414715719063545,0.5764192139737991,0.6422764227642277,0.2832618025751073,0.2733092483848571
5,0.03,1.0,0.8,0.7123287671232876,0.360313315926893,0.6026200873362445,0.45098039215686275,0.6026200873362445,0.639686684073107,0.2911392405063291,0.2849679843936039
5,0.03,1.0,1.0,0.7200342465753424,0.36235955056179775,0.5633187772925764,0.441025641025641,0.5633187772925764,0.6376404494382022,0.28289473684210525,0.274340759725691
5,0.05,0.8,0.8,0.7157534246575342,0.3425076452599388,0.4890829694323144,0.4028776978417266,0.4890829694323144,0.6574923547400612,0.25225225225225223,0.22828025581689584
5,0.05,0.8,1.0,0.726027397260274,0.35275080906148865,0.4759825327510917,0.4052044609665427,0.4759825327510917,0.6472491909385113,0.2540792540792541,0.2354025916721822
5,0.05,1.0,0.8,0.7268835616438356,0.36363636363636365,0.5240174672489083,0.4293381037567084,0.5240174672489083,0.6363636363636364,0.2733485193621868,0.262790115771679
5,0.05,1.0,1.0,0.7243150684931506,0.3595166163141994,0.519650655021834,0.425,0.519650655021834,0.6404833836858006,0.2698412698412698,0.25684139506338427
5,0.1,0.8,0.8,0.7422945205479452,0.36764705882352944,0.4366812227074236,0.3992015968063872,0.4366812227074236,0.6323529411764706,0.24937655860349128,0.23765812230377356
5,0.1,0.8,1.0,0.7251712328767124,0.32170542635658916,0.3624454148471616,0.3408624229979466,0.3624454148471616,0.6782945736434108,0.20544554455445543,0.16834626098516933
5,0.1,1.0,0.8,0.7217465753424658,0.33098591549295775,0.4104803493449782,0.3664717348927875,0.4104803493449782,0.6690140845070423,0.2243436754176611,0.19204998208488974
5,0.1,1.0,1.0,0.7226027397260274,0.326007326007326,0.388646288209607,0.3545816733067729,0.388646288209607,0.673992673992674,0.21549636803874092,0.1804008132948455
7,0.03,0.8,0.8,0.735445205479452,0.35507246376811596,0.4279475982532751,0.38811881188118813,0.4279475982532751,0.644927536231884,0.24078624078624078,0.22227859408572426
7,0.03,0.8,1.0,0.740582191780822,0.35658914728682173,0.4017467248908297,0.37782340862423,0.4017467248908297,0.6434108527131783,0.23291139240506328,0.21508589163004016
7,0.03,1.0,0.8,0.7422945205479452,0.375,0.47161572052401746,0.41779497098646035,0.47161572052401746,0.625,0.26405867970660146,0.25697214982357497
7,0.03,1.0,1.0,0.7542808219178082,0.39338235294117646,0.4672489082969432,0.42714570858283435,0.4672489082969432,0.6066176470588235,0.2715736040609137,0.2733033528577003
7,0.05,0.8,0.8,0.7431506849315068,0.34080717488789236,0.3318777292576419,0.336283185840708,0.3318777292576419,0.6591928251121076,0.20212765957446807,0.17709727878693932
7,0.05,0.8,1.0,0.7431506849315068,0.3285024154589372,0.29694323144104806,0.3119266055045872,0.29694323144104806,0.6714975845410628,0.18478260869565216,0.15470651611999284
7,0.05,1.0,0.8,0.7482876712328768,0.35555555555555557,0.34934497816593885,0.3524229074889868,0.34934497816593885,0.6444444444444445,0.21390374331550802,0.19622851738973704
7,0.05,1.0,1.0,0.7559931506849316,0.3803418803418803,0.388646288209607,0.38444924406047515,0.388646288209607,0.6196581196581197,0.23796791443850268,0.2323224635424955
7,0.1,0.8,0.8,0.7440068493150684,0.32142857142857145,0.27510917030567683,0.2964705882352941,0.27510917030567683,0.6785714285714286,0.17403314917127072,0.14153862845616863
7,0.1,0.8,1.0,0.7397260273972602,0.3036649214659686,0.25327510917030566,0.2761904761904762,0.25327510917030566,0.6963350785340314,0.16022099447513813,0.11953550211882341
7,0.1,1.0,0.8,0.7542808219178082,0.3592233009708738,0.3231441048034934,0.34022988505747126,0.3231441048034934,0.6407766990291263,0.20498614958448755,0.19001798147641716
7,0.1,1.0,1.0,0.7542808219178082,0.3520408163265306,0.30131004366812225,0.3247058823529412,0.30131004366812225,0.6479591836734694,0.19382022471910113,0.17609969842901985
