n_estimators,max_depth,min_samples_leaf,Accuracy,Precision,Recall,F1,POD,FAR,CSI,HSS
200,8.0,3,0.7200342465753424,0.3768844221105528,0.6550218340611353,0.4784688995215311,0.6550218340611353,0.6231155778894473,0.31446540880503143,0.32237564981946
200,8.0,5,0.7166095890410958,0.37438423645320196,0.6637554585152838,0.47874015748031495,0.6637554585152838,0.625615763546798,0.3146997929606625,0.3225076896966646
200,8.0,10,0.7174657534246576,0.37530864197530867,0.6637554585152838,0.4794952681388013,0.6637554585152838,0.6246913580246913,0.3153526970954357,0.323601363239105
200,12.0,3,0.7577054794520548,0.3794642857142857,0.37117903930131,0.37527593818984545,0.37117903930131,0.6205357142857143,0.23097826086956522,0.2250197544122095
200,12.0,5,0.7534246575342466,0.38247011952191234,0.4192139737991266,0.4,0.4192139737991266,0.6175298804780877,0.25,0.2455042475482819
200,12.0,10,0.747431506849315,0.3804347826086957,0.4585152838427948,0.4158415841584158,0.4585152838427948,0.6195652173913043,0.2625,0.25773215993131304
200,,3,0.797945205479452,0.3870967741935484,0.05240174672489083,0.09230769230769231,0.05240174672489083,0.6129032258064516,0.04838709677419355,0.055274534717394255
200,,5,0.7833904109589042,0.35,0.1222707423580786,0.18122977346278318,0.1222707423580786,0.65,0.099644128113879,0.09523588825143757
200,,10,0.7654109589041096,0.37142857142857144,0.2838427947598253,0.3217821782178218,0.2838427947598253,0.6285714285714286,0.19174041297935104,0.18438501463454782
400,8.0,3,0.7217465753424658,0.3787878787878788,0.6550218340611353,0.48,0.6550218340611353,0.6212121212121212,0.3157894736842105,0.3245977382317189
400,8.0,5,0.7200342465753424,0.3781094527363184,0.6637554585152838,0.48177496038034867,0.6637554585152838,0.6218905472636815,0.3173277661795407,0.32689884370404787
400,8.0,10,0.723458904109589,0.38366336633663367,0.6768558951965066,0.48973143759873616,0.6768558951965066,0.6163366336633663,0.32426778242677823,0.3380798072130872
400,12.0,3,0.7602739726027398,0.38565022421524664,0.37554585152838427,0.3805309734513274,0.37554585152838427,0.6143497757847534,0.23497267759562843,0.23196309710028512
400,12.0,5,0.7542808219178082,0.3821138211382114,0.4104803493449782,0.3957894736842105,0.4104803493449782,0.6178861788617886,0.24671916010498687,0.24197735394699021
400,12.0,10,0.7465753424657534,0.3754646840148699,0.4410480349344978,0.40562248995983935,0.4410480349344978,0.6245353159851301,0.25440806045340053,0.24675722647101314
400,,3,0.7988013698630136,0.375,0.039301310043668124,0.07114624505928854,0.039301310043668124,0.625,0.036885245901639344,0.04137129000729936
400,,5,0.7919520547945206,0.3939393939393939,0.11353711790393013,0.17627118644067796,0.11353711790393013,0.6060606060606061,0.09665427509293681,0.10601779936962014
400,,10,0.7662671232876712,0.3735632183908046,0.2838427947598253,0.3225806451612903,0.2838427947598253,0.6264367816091954,0.19230769230769232,0.18595468404869236
